details_id,job_ids,company_Name,designations,industry,employees_count,linkedin_followers,involvement,level,total_applicants,City,State
273,3976638818,e2open,"Analyst, Channel Data Service - Bangalore",Financial Services,10001,2350251,Full-time,Associate,5,Bengaluru, Karnataka
274,3974776635,LTIMindtree,Marketing Data Analyst,Financial Services,10001,2350251,Full-time,Associate,5,Mumbai, Maharashtra
275,3973536035,CRISIL Limited,Retainer (Contractual) - Financial Data Analyst,Software Development,5000,553077,Full-time,Associate,35,Pune, Maharashtra
276,3957828256,Wells Fargo,Product Analyst,Business Consulting and Services,200,48010,Full-time,Associate,182,Hyderabad, Telangana
277,3971171294,Wells Fargo,Product Analyst,IT Services and IT Consulting,10001,15502608,Full-time,Mid-Senior level,181,Hyderabad, Telangana
278,3948597635,Cactus Communications,Associate Process Manager,Advertising Services,10001,1321871,Full-time,Internship,48,Mumbai, Maharashtra
279,3976439598,Sikich India,Project Analyst (Ahmedabad),E-Learning Providers,500,71992,Full-time,Entry level,167,Ahmedabad, Gujarat
280,3973963009,Tata Consultancy Services,Data Engineer,IT Services and IT Consulting,200,30566,Hybrid,Full-time,0,Hyderabad, Telangana
281,3976667373,dentsu,Intern - Performance Practice,Advertising Services,500,61686,Full-time,Associate,184,Pune, Maharashtra
282,3974792239,Quizizz,Product Analyst,IT Services and IT Consulting,10001,2363557,Full-time,Entry level,19,Bengaluru, Karnataka
283,3976873503,Kiash Solutions LLP,Azure PowerBI,IT Services and IT Consulting,10001,2363557,Full-time,Entry level,15,Pune, Maharashtra
284,3955909624,TING,Junior UX Designer,Automation Machinery Manufacturing,10001,962507,Full-time,Mid-Senior level,8,Mumbai, Maharashtra
285,3977370681,Accenture in India,Risk and Compliance New Associate,IT Services and IT Consulting,500,83120,Full-time,Entry level,62,Bengaluru, Karnataka
286,3976433747,Accenture in India,Risk and Compliance New Associate,Financial Services,10000,111067,Full-time,Entry level,134,Bengaluru, Karnataka
287,3974789887,Rockwell Automation,Data Governance Analyst,Staffing and Recruiting,1000,118858,Full-time,Mid-Senior level,0,Bengaluru, Karnataka
288,3959339373,EbizON,Fresher || MBA Graduates || Noida,IT Services and IT Consulting,10001,2363560,Full-time,Entry level,17,Noida, Uttar Pradesh
289,3976459405,Guardian Life,Analyst - Reporting & Analytics,Marketing,100,0,Full-time,Full-time,103,Chennai, Tamil Nadu
290,3978492694,MNR Solutions Pvt. Ltd.,Data Analyst - R/Python,Marketing,100,0,Full-time,Entry level,28,Hyderabad, Telangana
291,3937207254,Accenture in India,Func & Ind Intelligence New Associate,Marketing,100,0,Full-time,Full-time,61,Gurgaon, Haryana
292,3978007372,Cognizant,Programmer Analyst,Marketing,100,0,Full-time,Mid-Senior level,90,Chennai, Tamil Nadu
293,3978456678,WPP,Service Reporting Analyst,Marketing,100,0,Contract,Entry level,0,Bengaluru, Karnataka
