details_id,job_ids,company_Name,designations,industry,employees_count,linkedin_followers,involvement,level,total_applicants,City,State
433,3973652485,JLL Technologies,Data Engineer 1,Business Consulting and Services,1000,102998,Full-time,Full-time,10,Bengaluru East, Karnataka
434,3953203863,Pixis,Data Processing Engineer,IT Services and IT Consulting,200,9538,Internship,Internship,0,Bengaluru, Karnataka
435,3971143205,Morgan Stanley,Associate - Market Risk Analyst (Institutional Equity Division),Marketing,100,0,Full-time,Entry level,73,Mumbai, Maharashtra
436,3939462240,NR Consulting,Performance Analytics,IT Services and IT Consulting,10001,9367584,Full-time,Full-time,10,Bengaluru, Karnataka
437,3970483905,Value Point Systems Pvt Ltd,Business Development Specialist,Human Resources Services,10001,2380777,Full-time,Associate,115,Bengaluru, Karnataka
438,3969809327,Godrej Group,Executive – L&D,IT Services and IT Consulting,50,10082,On-site,Full-time,0,Mumbai, Maharashtra
439,3964079584,Trinity Life Sciences,Consultant - Data Science,Financial Services,10001,5179781,Full-time,Full-time,36,Bengaluru, Karnataka
440,3973514844,Incentius,Devops Engineer Internship in Pune,Business Consulting and Services,10001,4173304,Full-time,Associate,47,Pune, Maharashtra
441,3974086734,CRISIL Limited,Credit Analysis - US Public Finance,Financial Services,10001,614090,Full-time,Full-time,184,Pune, Maharashtra
442,3974082705,Wipro,Developer,Advertising Services,500,61695,Internship,Internship,117,Pune, Maharashtra
443,3959634465,Randstad,Recruiter,IT Services and IT Consulting,50,1546,Full-time,Entry level,0,Hyderabad, Telangana
444,3975944337,Xomic Infotech Pvt. Ltd.,Jr. Quality Analyst,IT Services and IT Consulting,10001,6238097,Full-time,Entry level,28,Ahmedabad, Gujarat
445,3976681889,JPMorganChase,Quant Analytics Associate,IT Services and IT Consulting,500,88701,Full-time,Mid-Senior level,112,Mumbai, Maharashtra
446,3978488587,Genpact,Management Trainee-BFS037753,IT Services and IT Consulting,5000,65164,Full-time,Mid-Senior level,78,Noida, Uttar Pradesh
447,3978496690,Macquarie Group,Market Risk Associate,IT Services and IT Consulting,10001,7473693,Full-time,Entry level,8,Gurugram, Haryana
448,3977642573,TING,Web Development Intern,Human Resources Services,10001,1426044,Full-time,Entry level,161,Mumbai, Maharashtra
449,3976849759,Vibrantzz Management Services.,E-Commerce Chat Process,Business Consulting and Services,10001,4173310,Full-time,Associate,155,Mumbai, Maharashtra
450,3977236005,Tech Mahindra,Business Consultant,IT Services and IT Consulting,500,6468,Full-time,Mid-Senior level,192,Hyderabad, Telangana
451,3974760896,Pronix Inc,Inside Sales Executive - IT Solutions and Services,IT Services and IT Consulting,10001,596573,Full-time,Mid-Senior level,41,Hyderabad, Telangana
452,3976681361,ValueMomentum,Enterprise Data Architect,IT Services and IT Consulting,5000,65165,Full-time,Mid-Senior level,80,Hyderabad, Telangana
453,3978411344,Cognizant,Associate - Projects,IT Services and IT Consulting,10001,56538,Full-time,Mid-Senior level,147,Chennai, Tamil Nadu
454,3975168606,ADP,Customer Service Representative,IT Services and IT Consulting,5000,58509,Full-time,Full-time,197,Hyderabad, Telangana
455,3978092402,Genpact,Customer Master Data,Financial Services,5000,148081,Full-time,Full-time,6,Bengaluru, Karnataka
456,3958530979,Amista,Technical Consultant (SAP Business One),Retail,10001,612046,Full-time,Mid-Senior level,137,Hyderabad, Telangana
457,3975651820,Birlasoft,Technical Specialist,Retail,5000,372651,Full-time,Entry level,31,Mumbai, Maharashtra
458,3978513226,ValueMomentum,Cloud Architect,IT Services and IT Consulting,10001,2363628,Full-time,Entry level,45,Hyderabad, Telangana
459,3978421124,Gainwell Technologies,Sr Business Analyst,IT Services and IT Consulting,5000,145842,Full-time,Associate,144,Bengaluru, Karnataka
460,3942934807,PrimEra Medical Technologies,NLP Engineer – Healthcare,IT Services and IT Consulting,10001,446371,Full-time,Entry level,21,Hyderabad, Telangana
461,3977390334,DWS Group,Operations Analyst– Salesforce CRM,IT Services and IT Consulting,10001,9367608,Full-time,Full-time,22,Pune, Maharashtra
462,3976841254,Victoria’s Secret & Co.,Assistant Data Specialist [T500-12856],IT Services and IT Consulting,10001,9367608,Full-time,Full-time,18,Bengaluru, Karnataka
463,3912983719,Lowe's India,"Associate Analyst, Store Merchandising",IT Services and IT Consulting,10001,9367610,Full-time,Full-time,16,Bengaluru, Karnataka
464,3975217940,Accenture in India,Business Advisory Analyst,IT Services and IT Consulting,1000,46160,Full-time,Director,62,Noida, Uttar Pradesh
465,3961522499,Avaloq,Banking Specialist Associate - Income & Corporate Actions,Outsourcing and Offshoring Consulting,10001,2298115,Full-time,Mid-Senior level,111,Pune, Maharashtra
466,3978446249,Conduent,Transaction Processing Associate I,IT Services and IT Consulting,10001,7473697,Full-time,Entry level,40,Bengaluru, Karnataka
467,3930583359,Wipro,Cyber Security Analyst,Manufacturing,5000,41876,Full-time,Full-time,42,Bengaluru, Karnataka
468,3975811456,Wipro,Cyber Security Analyst,Financial Services,10001,492570,Full-time,Mid-Senior level,23,Bengaluru, Karnataka
469,3974750540,Wipro,Cyber Security Analyst,Staffing and Recruiting,1000,120529,Full-time,Entry level,47,Bengaluru, Karnataka
470,3977560704,Neudesic Technologies Private Limited,Azure Data Architect,Financial Services,5000,572090,Full-time,Entry level,133,Hyderabad, Telangana
471,3973928836,Teleperformance,Presales Manager,Financial Services,10001,2474284,Full-time,Full-time,9,Mumbai, Maharashtra
472,3956315262,Cognizant,Associate - Projects,Insurance,10001,351518,Full-time,Full-time,1,Pune, Maharashtra
473,3973052107,General Mills India,Business Systems Analyst,IT Services and IT Consulting,200,9538,Internship,Internship,0,Mumbai, Maharashtra
474,3974769500,Northern Trust,Senior Analyst,Human Resources Services,10001,2380792,Full-time,Associate,183,Pune, Maharashtra
475,3975000725,GlobalHunt,Data Engineer,Financial Services,10001,226450,Full-time,Mid-Senior level,13,Pune, Maharashtra
476,3975118668,CRISIL Limited,Equity Research Analyst,Banking,10001,625599,Full-time,Associate,25,Pune, Maharashtra
477,3938029404,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,200,13888,Full-time,Mid-Senior level,47,Mumbai, Maharashtra
478,3975533009,Allstate,Associate - Operations,IT Services and IT Consulting,10000,155933,Full-time,Mid-Senior level,192,Bengaluru, Karnataka
479,3935172049,Incentius,Devops Engineer Internship in Pune,Information Technology & Services,5000,177165,Contract,Entry level,0,Pune, Maharashtra
480,3978484871,Randstad,Recruiter,Spectator Sports,200,13122,Full-time,Full-time,130,Hyderabad, Telangana
481,3969579388,Global Payments Inc.,Data Scientist,IT Services and IT Consulting,500,18532,Full-time,Director,31,Noida, Uttar Pradesh
482,3953991781,NatWest Group,Customer Service & Operations Analyst,IT Services and IT Consulting,10001,6238109,Full-time,Mid-Senior level,188,Gurugram, Haryana
483,3974256155,TETRAHED INC,Tableau Consultant with PYTHON or JAVA or DASH,IT Services and IT Consulting,10001,446372,Full-time,Entry level,14,Pune, Maharashtra
484,3952811986,Sonata Software,Technical Consultant (D365 F&O),IT Services and IT Consulting,10001,446372,Full-time,Entry level,11,Bengaluru, Karnataka
485,3955618921,VARITE INC,Business Intelligence Engineer II,Software Development,200,12443,Full-time,Mid-Senior level,195,Bengaluru, Karnataka
486,3977862041,India On Track,Operations Manager,IT Services and IT Consulting,1000,2607,Full-time,Mid-Senior level,87,Mumbai, Maharashtra
487,3974767004,RandomTrees,Technical Lead,IT Services and IT Consulting,500,30240,Full-time,Associate,61,Mumbai, Maharashtra
488,3974293193,Tech Mahindra,D365F&O Technical Consultant,Automation Machinery Manufacturing,10001,962515,Full-time,Mid-Senior level,24,Hyderabad, Telangana
489,3973977205,Conduent,Technical Business Analysis Engineer II,IT Services and IT Consulting,5000,236555,Full-time,Full-time,147,Noida, Uttar Pradesh
490,3973320628,Conduent,Technical Business Analysis Engineer II,IT Services and IT Consulting,10001,2363638,Full-time,Entry level,4,Noida, Uttar Pradesh
491,3978006214,Miamin Systems Inc.,Python Developer,Hospitals and Health Care,10001,147906,Full-time,Full-time,15,Bengaluru, Karnataka
492,3976448773,Cyfuture Cloud,Business Development Manager-Mumbai,Professional Services,10001,9091483,Internship,Entry level,13,Mumbai, Maharashtra
493,3977325735,Simple Logic IT Private Limited,Database Administrator,Professional Services,10001,9091483,Internship,Entry level,10,Mumbai, Maharashtra
494,3976883345,Rockwell Automation,Data Governance Analyst,Professional Services,10001,9091483,Internship,Entry level,12,Noida, Uttar Pradesh
495,3977239422,First Advantage,Associate Scrum Master,Data Infrastructure and Analytics,200,6295,Full-time,Mid-Senior level,0,Bengaluru, Karnataka
496,3975869816,Accenture in India,Measurement & Report Analyst,Staffing and Recruiting,200,8868,Full-time,Mid-Senior level,153,Hyderabad, Telangana
497,3977880430,Cencora,Analyst I - IT Solutions,Software Development,1000,18018,Full-time,Mid-Senior level,55,Pune, Maharashtra
498,3971919512,EY,Analyst - Business Consulting Risk - TMT - CNS - Risk - Internal Audit - Bangalore,IT Services and IT Consulting,200,27852,Full-time,Mid-Senior level,0,Bengaluru, Karnataka
499,3977237954,EY,Analyst - Business Consulting Risk - TMT - CNS - Risk - Internal Audit - Bangalore,Business Consulting and Services,50,44111,Full-time,Entry level,167,Bengaluru, Karnataka
500,3973077054,EY,Analyst - Business Consulting Risk - TMT - CNS - Risk - Internal Audit - Bangalore,Advertising Services,10,8392,Full-time,Full-time,12,Bengaluru, Karnataka
501,3971170257,Loyalytics AI,Business Analyst,Financial Services,10001,2474289,Full-time,Full-time,7,Bengaluru East, Karnataka
502,3974755582,Quikdy,System Analyst,Financial Services,10001,2474289,Full-time,Full-time,3,Bengaluru, Karnataka
503,3970435459,Hitachi Energy,Operation Analyst,IT Services and IT Consulting,200,81294,Full-time,Mid-Senior level,107,Chennai, Tamil Nadu
504,3977203317,Entrata India,Financial Analyst,Outsourcing and Offshoring Consulting,5000,881,Full-time,Mid-Senior level,0,Pune, Maharashtra
505,3978097444,IQuest Solutions Corporation,Business Analyst/Product Owner,IT Services and IT Consulting,5000,59096,Full-time,Associate,160,Bengaluru, Karnataka
506,3958944209,sparkle★minds,Market Research Analyst,Insurance,10001,351518,Full-time,Entry level,0,Bengaluru, Karnataka
507,3975174017,Auor,Business Development Associate (Full Time- Freshers only),Financial Services,10001,2222932,Full-time,Entry level,86,Mumbai, Maharashtra
508,3975790913,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,10001,651593,Full-time,Mid-Senior level,12,Mumbai, Maharashtra
509,3976908613,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,200,9538,Internship,Internship,0,Mumbai, Maharashtra
510,3974778243,Valiance Solutions,Data Quality Analyst,Automation Machinery Manufacturing,5000,248260,Full-time,Mid-Senior level,80,Bengaluru, Karnataka
511,3973672749,Advait Techserve,Business Analyst,IT Services and IT Consulting,1000,23453,Full-time,Full-time,49,Mumbai, Maharashtra
512,3975002658,JLL Technologies,Software Engineer- 1,Financial Services,10001,2474291,Full-time,Full-time,21,Bengaluru East, Karnataka
513,3973818567,Allstate,Associate - Operations,Pharmaceutical Manufacturing,10001,1435037,Full-time,Full-time,0,Bengaluru, Karnataka
514,3973670821,American Express,Financial Analyst- Strategic Analytics,IT Services and IT Consulting,200,17927,Full-time,Mid-Senior level,139,Gurgaon, Haryana
515,3975634542,NTT DATA North America,Business Sys. Analysis Specialist,IT Services and IT Consulting,200,4857,Full-time,Entry level,164,Chennai, Tamil Nadu
516,3975202682,Incentius,DevOps Engineer Intern,IT Services and IT Consulting,500,87087,Full-time,Mid-Senior level,88,Pune, Maharashtra
517,3976704936,Universal Robots,Business Development Manager,IT Services and IT Consulting,10001,9367646,Full-time,Full-time,3,Bengaluru East, Karnataka
518,3976922636,Zones India,Senior Data Analyst,IT Services and IT Consulting,10001,9367646,Full-time,Full-time,18,Noida, Uttar Pradesh
519,3957300488,Deutsche Bank,Operations Analyst NCT,IT Services and IT Consulting,10,610,Full-time,Full-time,122,Gurgaon, Haryana
520,3954076054,Bristol Myers Squibb,BCF Analytics Analyst I,Financial Services,10001,614092,Full-time,Full-time,108,Hyderabad, Telangana
521,3974789403,INRY,Presales Solutions Architect (ServiceNow),IT Services and IT Consulting,10000,865117,Full-time,Mid-Senior level,3,Hyderabad, Telangana
522,3976102386,CloudMetic,Software Trainee - Salesforce,Human Resources Services,500,186522,Full-time,Associate,20,Noida, Uttar Pradesh
523,3966540448,Anlage Infotech (India) P Ltd,Informatica Data Quality Consultant,Financial Services,10001,3080074,Full-time,Full-time,19,Bengaluru, Karnataka
524,3955957162,Wipro,Technology Architect,IT Services and IT Consulting,10001,1183055,Full-time,Associate,75,Pune, Maharashtra
525,3961256611,Wipro,Developer,Advertising Services,10001,1321916,Full-time,Entry level,161,Pune, Maharashtra
526,3964468721,Kinematic Digital,Information Technology Sales Specialist,IT Services and IT Consulting,1000,88954,Internship,Internship,131,Pune, Maharashtra
527,3947130834,Macquarie Group,Senior Data Analyst,IT Services and IT Consulting,10000,865117,Full-time,Mid-Senior level,11,Gurugram, Haryana
528,3962925036,Zensar Technologies,HYBRID WAN,IT Services and IT Consulting,5000,260326,Full-time,Mid-Senior level,128,Pune, Maharashtra
529,3978521606,HuntingCube Recruitment Solutions,Data Engineer,IT Services and IT Consulting,10001,1183055,Full-time,Associate,48,Bengaluru, Karnataka
530,3977571536,Morgan Stanley,Associate - Reference Data Services (Operations),IT Services and IT Consulting,5000,179956,Full-time,Mid-Senior level,25,Mumbai, Maharashtra
531,3977255827,Virtusa,Application Support,IT Services and IT Consulting,5000,260326,Full-time,Mid-Senior level,182,Chennai, Tamil Nadu
532,3976641215,dentsu,Commercial Finance Analyst,IT Services and IT Consulting,5000,20420,Full-time,Mid-Senior level,137,Gurugram, Haryana
533,3975412767,Keka HR,Program Management Intern,Business Consulting and Services,50,184617,Hybrid,Contract,181,Hyderabad, Telangana
534,3974966147,Zensar Technologies,SOC SERVICES,IT Services and IT Consulting,200,7187,Full-time,Mid-Senior level,165,Pune, Maharashtra
535,3973327102,Getronics,Cloud Pre-Sales Solution Architect,Financial Services,10001,1935790,Full-time,Full-time,17,Bengaluru, Karnataka
536,3973323738,Virtusa,Cloud Security Architect,Medical Equipment Manufacturing,10001,32165,Full-time,Mid-Senior level,19,Pune, Maharashtra
537,3973322804,Jade Global,Workday Functional,Business Consulting and Services,5000,284842,Full-time,Mid-Senior level,134,Pune, Maharashtra
538,3969957571,Getronics,Technical Consultant - Network & Security (FortiGate),Marketing,100,0,Full-time,Entry level,0,Bengaluru, Karnataka
539,3968140694,Allied Digital Services Limited,Business Development Manager,IT Services and IT Consulting,10001,1539245,Full-time,Entry level,11,Mumbai, Maharashtra
540,3970412182,YO HR Consultancy,Python Data Scientist - Remote,Motor Vehicle Manufacturing,10001,838613,Full-time,Full-time,5,Pune, Maharashtra
541,3951427793,Cloud Peritus,Technical Lead,Financial Services,10001,2474295,Full-time,Full-time,11,Hyderabad, Telangana
542,3977239422,BlackRock,"Aladdin Business, Client Service, Analyst",Financial Services,10001,2474295,Full-time,Full-time,3,Gurgaon, Haryana
543,3978437415,Solventum,Trade Compliance IT Product Manager (New Health Care Company),Financial Services,10001,2474295,Full-time,Full-time,8,Bengaluru East, Karnataka
544,3977880430,Tredence Inc.,Senior Data Engineer,IT Services and IT Consulting,200,535,Full-time,Entry level,0,Bengaluru, Karnataka
545,3974391553,MHLondon,Business Analyst in Noida,Financial Services,10001,2474295,Full-time,Full-time,3,Noida, Uttar Pradesh
546,3977639825,Infosys BPM,Process Specialist,IT Services and IT Consulting,200,5632,Full-time,Mid-Senior level,52,Bengaluru, Karnataka
547,3975790913,Michelin,Support Analyst - 2,Business Consulting and Services,10001,518794,Full-time,Full-time,93,Pune, Maharashtra
548,3973672749,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,10001,15502828,Full-time,Mid-Senior level,104,Mumbai, Maharashtra
549,3978436886,Deutsche Bank,"Operations Analyst, NCT",Business Consulting and Services,200,161670,Full-time,Mid-Senior level,185,Mumbai, Maharashtra
550,3973972006,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,10001,963582,Full-time,Entry level,58,Mumbai, Maharashtra
551,3973924281,EagleMount Software Pvt Ltd,Business Development Executive in Hyderabad,Professional Services,10001,276949,Full-time,Associate,35,Hyderabad, Telangana
552,3964997095,Deutsche Bank,Operations Analyst NCT,Telecommunications,5000,131238,Full-time,Mid-Senior level,11,Mumbai, Maharashtra
553,3975530604,Sakshath Technologies®,Sr. Power BI Developer,IT Services and IT Consulting,200,35978,Full-time,Mid-Senior level,1,Mumbai, Maharashtra
554,3966559354,ZS,Associate - Platform Services - ETL,Financial Services,10001,3080077,Full-time,Full-time,15,Pune, Maharashtra
555,3964356365,Tata Consultancy Services,SQL Database Administrator,Consumer Services,200,25048,Full-time,Full-time,170,Bengaluru, Karnataka
556,3959360639,Consulting Point,Consulting Roles. Tier 1 Strategy Consultancy,IT Services and IT Consulting,200,12812,Full-time,Mid-Senior level,118,Bengaluru, Karnataka
557,3976875305,EXL,Executives,IT Services and IT Consulting,10000,117340,Full-time,Mid-Senior level,10,Pune, Maharashtra
558,3976870756,PwC Acceleration Centers in India,Data Science - HIA - Associate 2,Financial Services,10001,2222945,Full-time,Entry level,26,Bengaluru, Karnataka
559,3978524343,Tata Tele Business Services,Product Sales Specialist,Software Development,500,75863,Full-time,Entry level,163,Ahmedabad, Gujarat
560,3960331423,"Baanyan Software Services, Inc.",US IT Bench Sales,IT Services and IT Consulting,1000,46160,Full-time,Director,74,Hyderabad, Telangana
561,3977279885,Morgan Stanley,Associate - Reference Data Services (Operations),IT Services and IT Consulting,10001,596579,Full-time,Mid-Senior level,16,Mumbai, Maharashtra
562,3978002683,Supertails,Quality Analyst,IT Services and IT Consulting,10001,596579,Full-time,Mid-Senior level,14,Bengaluru, Karnataka
563,3978474212,SELECCIÓN Consulting,SAP SAC Consultant,IT Services and IT Consulting,10001,596579,Full-time,Mid-Senior level,10,Hyderabad, Telangana
564,3978510778,CitiusTech,Technical Lead - Artificial Intelligence,Software Development,10001,33557237,Full-time,Full-time,154,Mumbai, Maharashtra
565,3975927470,American Express,TCPS Analyst,IT Services and IT Consulting,10001,1343192,Full-time,Full-time,56,Gurgaon, Haryana
566,3974465173,WaferWire Cloud Technologies,Technical Recruiter / Talent Acquisition (Fresher),Financial Services,10001,594273,Full-time,Full-time,2,Hyderabad, Telangana
567,3971150155,Neudesic Technologies Private Limited,Azure Data Architect,IT Services and IT Consulting,10001,16853564,Full-time,Full-time,90,Bengaluru, Karnataka
568,3969954332,Birlasoft,Sr Analyst,Retail,10001,969449,Full-time,Mid-Senior level,75,Bengaluru East, Karnataka
569,3975185789,Birlasoft,Sr Analyst,Financial Services,10001,2474296,Full-time,Full-time,6,Bengaluru East, Karnataka
570,3977644506,Birlasoft,Sr Analyst,Financial Services,10001,2474296,Full-time,Full-time,8,Bengaluru East, Karnataka
571,3974391492,Google,"UX Designer, Payments Platform",Financial Services,10001,2474296,Full-time,Full-time,4,Bengaluru, Karnataka
572,3925809877,UST,Data Analyst,Financial Services,10001,2474296,Full-time,Full-time,3,Bengaluru, Karnataka
573,3978073022,State Street,Associate System Analyst,Financial Services,10001,2474296,Full-time,Full-time,2,Hyderabad, Telangana
574,3954217867,IBM,Data Engineer,Financial Services,10001,2474296,Full-time,Full-time,3,Pune, Maharashtra
575,3970487715,lululemon,Engineer II [T500-12366],Financial Services,10001,2474297,Full-time,Full-time,3,Bengaluru, Karnataka
576,3934371365,Deutsche Bank,"Operations Analyst, NCT",Financial Services,10001,2474298,Full-time,Full-time,4,Mumbai, Maharashtra
577,3975192552,Deutsche Bank,"Operations Analyst, NCT",Financial Services,10001,2474299,Full-time,Full-time,11,Mumbai, Maharashtra
578,3958889257,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,10001,6238131,Full-time,Mid-Senior level,174,Mumbai, Maharashtra
579,3976678138,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,10001,1539250,Full-time,Mid-Senior level,11,Mumbai, Maharashtra
580,3974365649,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,10001,396734,Full-time,Entry level,12,Mumbai, Maharashtra
581,3978477770,Deutsche Bank,"Operations Analyst, NCT",IT Services and IT Consulting,50,1046,Full-time,Associate,21,Mumbai, Maharashtra
582,3965194498,Deutsche Bank,"Operations Analyst, NCT",Business Consulting and Services,10001,4173386,Full-time,Associate,28,Mumbai, Maharashtra
583,3960697505,Deutsche Bank,"Operations Analyst, NCT",Software Development,10001,31537626,Full-time,Full-time,70,Mumbai, Maharashtra
584,3970417518,Deutsche Bank,"Operations Analyst , NCT",Business Consulting and Services,10001,4173386,Full-time,Associate,23,Mumbai, Maharashtra
585,3967069236,Tech Mahindra,Architect - BI Reporting,IT Services and IT Consulting,5000,106732,Full-time,Mid-Senior level,85,Hyderabad, Telangana
586,3977206773,Infosys BPM,Senior Analyst,IT Services and IT Consulting,5000,236557,Full-time,Full-time,120,Bengaluru, Karnataka
587,3962746468,Amadeus,Product Definition Analyst 2,Manufacturing,10001,352289,Full-time,Entry level,30,Bengaluru, Karnataka
588,3965101515,PhotonX Technologies,Junior Strategic Operations Coordinator,Business Intelligence Platforms,10,8989,Full-time,Full-time,2,Hyderabad, Telangana
589,3978481519,Genpact,Management Trainee - Kore.AI Junior Developer-COR029012,Airlines and Aviation,10001,914312,Full-time,Full-time,20,Gurugram, Haryana
590,3975234541,Amazon,"Production Planning Analyst, Supply Chain",Financial Services,5000,49902,Full-time,Entry level,41,Bengaluru, Karnataka
591,3977234195,Genpact,Management Trainee - Kore.AI Junior Developer-COR029010,Marketing,100,0,Internship,Internship,1,Gurugram, Haryana
592,3977232329,PURVIEW,Data Engineering + MLOPS,Information Services,10001,1033322,Full-time,Mid-Senior level,178,Hyderabad, Telangana
593,3977229572,First Advantage,Associate UX Designer,Advertising Services,5000,411678,Full-time,Mid-Senior level,42,Bengaluru East, Karnataka
594,3971689926,Godrej Group,Sales MIS Support,E-Learning Providers,200,1145,Full-time,Entry level,0,Mumbai, Maharashtra
595,3978437519,Stratsyn AI Technology Service,Business Analyst,Financial Services,10001,2474301,Full-time,Full-time,58,Chennai, Tamil Nadu
596,3971724478,United Airlines,Analyst - Total Rewards,Information Services,1000,34549,Full-time,Associate,171,Gurugram, Haryana
597,3976640902,FE fundinfo,Junior Quality Analyst,IT Services and IT Consulting,500,8217,Full-time,Associate,105,Chennai, Tamil Nadu
598,3975807384,Oliv AI,Product Intern,"Technology, Information and Internet",5000,1652075,Full-time,Entry level,186,Bengaluru, Karnataka
599,3974395155,NielsenIQ,Executive Talent Acquisition,Software Development,200,7154,Full-time,Full-time,191,Pune, Maharashtra
600,3974390730,Epsilon India,Principal Data Analyst,Software Development,1000,209607,Full-time,Mid-Senior level,172,Bengaluru, Karnataka
601,3972936310,Teach Maven,Business Development Trainee in Bangalore,IT Services and IT Consulting,5000,40050,Full-time,Associate,154,Bengaluru, Karnataka
602,3975174459,NTT DATA North America,Financial Analysis Specialist Advisor,Financial Services,500,24850,Full-time,Mid-Senior level,37,Bengaluru, Karnataka
603,3973315577,Programming.com,Data Science --PD,Information Technology & Services,200,97199,Full-time,Mid-Senior level,180,Mumbai, Maharashtra
604,3977641832,Deutsche Bank,Know Your Client (KYC) Analyst,Business Consulting and Services,10001,2240369,Full-time,Entry level,48,Bengaluru, Karnataka
605,3959286805,Dun & Bradstreet Technology and Corporate Services India LLP,Senior Associate Research Analyst.,IT Services and IT Consulting,10001,6238146,Full-time,Associate,69,Hyderabad, Telangana
606,3973826785,VService IT Solutions,Software Quality Analyst,Human Resources Services,10,3564,On-site,Full-time,0,Hyderabad, Telangana
607,3973070572,Zomato,Key Accounts Manager,Financial Services,50,8974,Full-time,Full-time,105,Hyderabad, Telangana
608,3947251568,RadiusAI,Sr Devops Engineer,IT Services and IT Consulting,5000,54606,Full-time,Entry level,118,Bengaluru, Karnataka
609,3972336101,Recro,Business Development Manager,Financial Services,10001,2222957,Full-time,Full-time,13,Bengaluru, Karnataka
610,3974393185,Aeries Technology,Associate implementation consultant,IT Services and IT Consulting,10001,1578752,Full-time,Mid-Senior level,169,Bengaluru, Karnataka
611,3967438906,Bottomline Media Pvt Ltd,Client Servicing Executive,Advertising Services,50,7840,Full-time,Full-time,153,Bandra, Maharashtra
612,3932179806,CCS,Client Servicing & Business Development Executive,Design,50,1610,Full-time,Full-time,195,Mumbai, Maharashtra
613,3969790597,Custo,Creative Strategist,Retail,50,1083,Full-time,Full-time,38,Indore, Madhya Pradesh
614,3969575023,CORDIAL DEVELOPERS PVT LTD,Sales And Marketing Executive,Construction,200,453,Full-time,Full-time,183,Trivandrum, Kerala
615,3974157545,Global Advertisers Pvt. Ltd.,Digital Marketing Executive,Advertising Services,200,11714,Full-time,Full-time,127,Mumbai, Maharashtra
616,3968282205,Marketaa,Digital Marketing Executive,Market Research,50,3194,Full-time,Full-time,170,Pune, Maharashtra
617,3961155344,EarnYoung,Digital Marketing Executive,Staffing and Recruiting,10,58832,Full-time,Associate,169,Mumbai, Maharashtra
618,3971160097,DViO Digital,Client Servicing Executive,Advertising Services,200,41024,Full-time,Mid-Senior level,90,Pune, Maharashtra
619,3822752542,Schbang,Brand Solutions Strategist,Marketing,5000,316008,Full-time,Executive,175,Mumbai, Maharashtra
620,3942605662,BigTrunk,Copy Trainee,Marketing,200,21996,Full-time,Full-time,107,Mumbai, Maharashtra
621,3962604790,HockeyCurve,Digital Marketing,Marketing,50,14453,Full-time,Full-time,144,Mumbai, Maharashtra
622,3962892904,eClerx,Analyst,Marketing,10001,321206,Full-time,Entry level,75,Pune, Maharashtra
623,3951964221,iauro Systems Pvt. Ltd.,Sales Specialist,Marketing,500,9258,Full-time,Full-time,186,Pune, Maharashtra
624,3962246803,HockeyCurve,Designer - Entry level,Marketing,50,14453,Full-time,Full-time,158,Pune, Maharashtra
625,3971044093,Digital ROI,Assistant Digital Marketing Analyst,Marketing,200,10262,Full-time,Full-time,126,Pune, Maharashtra
626,3737197378,Event Agency,Business Development and Client servicing Executive,Marketing,100,0,Full-time,Full-time,172,Mumbai, Maharashtra
627,3975336543,AMC India,Nutritionist,Marketing,200,717,Full-time,Full-time,1,Mumbai, Maharashtra
628,3937528256,Arya.ai,Marketing Content Specialist,Marketing,50,32738,Full-time,Full-time,45,Mumbai, Maharashtra
629,3966193243,GUNN SOLUTION INDIA PVT LTD,Business Analyst,Marketing,50,6029,Full-time,Full-time,147,Pune, Maharashtra
630,3965458541,Tech Mahindra,Business Consultant,Marketing,10001,6238855,Full-time,Entry level,187,Pune, Maharashtra
631,3973948283,TETRAHED INC,BI Analyst,Marketing,200,14041,Full-time,Associate,134,Pune, Maharashtra
632,3977203425,Wipro,Associate,Marketing,10001,9368816,Full-time,Entry level,0,Kolkata, West Bengal
633,3951214203,mktg.doctor,Marketing Advertising Specialist,Marketing,50,1242,Full-time,Full-time,198,Pune, Maharashtra
634,3942626271,DemandFluence,"Demand Generation Executive (Freshers, Pune only)",Marketing,50,583,Full-time,Full-time,88,Pune, Maharashtra
635,3943424066,Wipro,Business Analyst,Marketing,10001,9368819,Full-time,Full-time,124,Pune, Maharashtra
636,3943424066,Wipro,Business Analyst,Marketing,10001,9368820,Full-time,Full-time,111,Pune, Maharashtra
637,3969061015,Digital ROI,Creative Strategist,Marketing,200,10262,Full-time,Full-time,129,Pune, Maharashtra
638,3953204883,EVERSANA,Analyst,Marketing,10000,340429,Full-time,Associate,139,Pune, Maharashtra
639,3959638690,Dentsu Creative,Graduate Trainee,Marketing,10000,482275,Internship,Internship,164,Mumbai, Maharashtra
640,3956743869,Tech Mahindra,Customer Support Executive,Marketing,10001,6238863,Full-time,Associate,130,Pune, Maharashtra
